ProjectName;Filename;Classname;LOC;Visibility;IsMock;Extensions;Implementations;PrivateMethods;ProtectedMethods;PackageMethods;PublicMethods;TotalMethods;IsStaticClass;MethodOverrides
dubbo;dubbo/dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/handler/HeaderExchangeHandlerTest.java;MockedExchangeHandler;10;private;True;1;1;0;0;0;2;2;False;0
dubbo;dubbo/dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/handler/MockedChannelHandler.java;MockedChannelHandler;35;public;True;0;1;0;0;0;6;6;False;5
dubbo;dubbo/dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/handler/MockedChannel.java;MockedChannel;88;public;True;0;1;0;0;0;15;15;False;15
dubbo;dubbo/dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/exchange/support/header/MockChannel.java;MockChannel;91;public;True;0;1;0;0;0;17;17;False;15
dubbo;dubbo/dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/codec/AbstractMockChannel.java;AbstractMockChannel;111;public;True;0;1;0;0;0;16;16;False;15
dubbo;dubbo/dubbo-remoting/dubbo-remoting-netty4/src/test/java/org/apache/dubbo/remoting/transport/netty4/MockResult.java;MockResult;13;public;True;0;1;0;0;0;1;1;False;0
dubbo;dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/directory/MockDirInvocation.java;MockDirInvocation;99;public;True;0;1;0;0;0;17;17;False;10
dubbo;dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/support/wrapper/MyMockException.java;MyMockException;9;public;True;1;0;0;0;0;0;0;False;0
dubbo;dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/support/wrapper/MockProviderRpcExceptionTest.java;IHelloRpcServiceMock;45;public;True;0;1;0;0;0;10;10;True;0
dubbo;dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/support/wrapper/MockClusterInvokerTest.java;IHelloServiceMock;45;public;True;0;1;0;0;0;10;10;True;0
dubbo;dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/filter/MockService.java;MockService;9;public;True;0;1;0;0;0;2;2;False;0
dubbo;dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/filter/DemoServiceMock.java;DemoServiceMock;9;public;True;0;1;0;0;0;2;2;False;0
dubbo;dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/router/MockInvoker.java;MockInvoker;39;public;True;0;1;0;0;0;5;5;False;4
dubbo;dubbo/dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/support/wrapper/MockClusterInvoker.java;MockClusterInvoker;147;public;True;0;1;3;0;0;7;10;False;6
dubbo;dubbo/dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/support/wrapper/MockClusterWrapper.java;MockClusterWrapper;15;public;True;0;1;0;0;0;1;1;False;1
dubbo;dubbo/dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/mock/MockRouterFactory.java;MockRouterFactory;10;public;True;0;1;0;0;0;1;1;False;1
